frase,sentimiento
"Me encantó el servicio, fue excelente",positivo
"No me gustó la atención que recibí",negativo
"El producto está bien, pero no es nada especial",neutral
"Increíble experiencia, lo recomiendo totalmente",positivo
"El envío llegó tarde y mal empaquetado",negativo
"Está aceptable para lo que cuesta",neutral
"La calidad es excepcional, superó mis expectativas",positivo
"Todo mal, no volvería a comprar aquí",negativo
"Ni bien ni mal, fue una compra promedio",neutral
"Excelente trato por parte del equipo",positivo
 """
Clasificador de Sentimientos - Simulación
Este script analiza frases desde un archivo CSV y determina si el sentimiento es positivo, negativo o neutral,
basado en palabras clave simples.

Autor: Trabajo académico sin atribución específica
Año: 2025
"""
